,Gal,Rmax,epse,epse_2,Band,V_sige,V_sige_2,lamRe,lamRe_2,F_S,F_S2,mu_e,er_mu_e,R_e,er_R_e,n,er_n,mu_e_b,er_mu_e_b,R_e_b,er_R_e_b,n_b,er_n_b,q_b,m0_d,er_m0_d,R_d,er_R_d,q_d,D/T,er_dt,lam_sqrt_eps
74,NGC3641   ,1.84,0.125,0.215,G,0.331,0.353,0.243,0.328,F,F,21.4,0.12   ,42.2 ,2.7   ,4.6,0.3 ,19.68 ,0.44     ,16.8 ,8.8     ,2.1,0.8   ,0.77,21.49,0.16   ,49.9,21.8  ,0.82,0.4,0.302,0.707382992215
75,NGC3648   ,1.24,0.421,0.326,G,0.711,0.479,0.684,0.496,F,F,24.58,0.70   ,51.9 ,41.2  ,12.0,0.0 ,18.52 ,0.49     ,2.6  ,0.2     ,1.7,0.4   ,0.78,21.1,0.11   ,13.6,4.7   ,0.92,0.55,0.053,0.868706110689
76,NGC3658   ,0.91,0.243,0.148,G,0.462,0.336,0.546,0.398,F,F,20.43,0.21   ,12.9 ,1.9   ,1.8,0.8 ,18.29 ,0.24     ,2.5  ,0.4     ,0.6,0.3   ,0.78,18.99,0.03   ,9.5,0.3   ,0.6,0.79,0.038,1.03455173737
77,NGC3665   ,0.77,0.216,0.176,G,0.463,0.439,0.41,0.388,F,F,21.63,0.29   ,21.1 ,4.8   ,2.6,1.6 ,0.00  ,0.00     ,0.0  ,0.0     ,0.0,0.0   ,0.0,0.0,0.00   ,0.0,0.0   ,0.0,0.0,0.000,0.924858711568
78,NGC3674   ,1.28,0.568,0.342,G,0.491,0.292,0.541,0.308,F,F,21.62,0.09   ,47.3 ,2.1   ,3.3,0.2 ,21.66 ,0.10     ,48.5 ,2.3     ,2.9,0.2   ,0.78,0.0,0.00   ,0.0,0.0   ,0.0,0.0,0.000,0.526668887404
79,NGC3694   ,1.71,0.268,0.208,G,0.269,0.203,0.256,0.191,F,F,19.61,0.05   ,11.5 ,0.3   ,2.2,0.1 ,18.41 ,0.43     ,2.9  ,0.7     ,5.0,3.1   ,0.76,18.99,0.04   ,10.8,0.2   ,0.5,0.57,0.114,0.418795204219
80,NGC3757   ,2.06,0.153,0.153,C,0.119,0.096,0.126,0.098,F,S,20.2,0.18   ,7.4  ,0.8   ,2.2,0.4 ,20.25 ,0.14     ,8.1  ,0.6     ,1.6,0.3   ,0.74,0.0,0.00   ,0.0,0.0   ,0.0,0.0,0.000,0.250541896357
81,NGC3838   ,1.42,0.605,0.385,S,0.743,0.536,0.676,0.509,F,F,20.74,0.08   ,12.3 ,0.4   ,3.1,0.3 ,0.00  ,0.00     ,0.0  ,0.0     ,0.0,0.0   ,0.0,0.0,0.00   ,0.0,0.0   ,0.0,0.0,0.000,0.820327777378
82,NGC3941   ,0.66,0.251,0.251,C,0.439,0.352,0.468,0.373,F,F,19.39,0.12   ,10.2 ,0.6   ,2.5,0.2 ,17.55 ,0.41     ,2.1  ,0.4     ,0.6,0.3   ,0.77,18.05,0.03   ,8.3,0.2   ,0.49,0.81,0.051,0.744512461132
83,NGC3945   ,0.74,0.09,0.23,G,0.717,0.741,0.524,0.561,F,F,19.68,0.18   ,21.3 ,2.4   ,2.5,0.6 ,0.00  ,0.00     ,0.0  ,0.0     ,0.0,0.0   ,0.0,0.0,0.00   ,0.0,0.0   ,0.0,0.0,0.000,1.16976586286
84,NGC3998   ,0.87,0.17,0.164,G,0.415,0.326,0.454,0.342,F,F,21.24,0.47   ,36.9 ,12.4  ,6.5,2.5 ,0.00  ,0.00     ,0.0  ,0.0     ,0.0,0.0   ,0.0,0.0,0.00   ,0.0,0.0   ,0.0,0.0,0.000,0.844508805135
85,NGC4026   ,0.75,0.556,0.438,G,0.54,0.451,0.548,0.442,F,F,19.9,0.32   ,19.3 ,4.5   ,4.6,1.9 ,17.60 ,0.16     ,5.0  ,0.4     ,1.3,0.4   ,0.87,19.25,0.03   ,21.0,0.7   ,0.81,0.63,0.036,0.667859663163
86,NGC4036   ,0.53,0.555,0.54,G,0.818,0.803,0.685,0.678,F,F,19.42,0.13   ,28.5 ,2.0   ,2.4,0.4 ,17.87 ,0.06     ,5.4  ,14.5    ,1.7,0.8   ,0.64,18.68,0.03   ,26.5,1.3   ,0.4,0.75,0.000,0.922641136448
87,NGC4078   ,2.0,0.561,0.51,S,0.575,0.524,0.523,0.496,F,F,19.85,0.07   ,29.3 ,0.9   ,2.0,0.1 ,21.87 ,0.58     ,26.9 ,8.5     ,8.6,2.2   ,0.4,18.46,0.04   ,21.0,0.6   ,0.43,0.74,0.020,0.694538921678
88,NGC4111   ,1.25,0.582,0.498,S,0.72,0.663,0.619,0.567,F,F,19.82,0.06   ,8.9  ,0.3   ,3.8,0.2 ,19.76 ,0.04     ,9.6  ,0.2     ,2.1,0.1   ,0.37,0.0,0.00   ,0.0,0.0   ,0.0,0.0,0.000,0.803467635293
89,NGC4119   ,0.61,0.598,0.563,G,0.895,0.808,0.701,0.66,F,F,18.79,0.05   ,24.6 ,0.6   ,2.1,0.1 ,18.69 ,0.04     ,23.3 ,0.5     ,2.3,0.1   ,0.21,0.0,0.00   ,0.0,0.0   ,0.0,0.0,0.000,0.879609149437
90,NGC4143   ,0.73,0.39,0.324,G,0.504,0.369,0.538,0.398,F,F,21.72,0.22   ,56.1 ,7.9   ,2.1,0.3 ,20.02 ,0.31     ,8.0  ,7.2     ,0.3,0.5   ,0.52,19.78,0.05   ,33.7,2.0   ,0.41,0.93,0.058,0.699214727082
91,NGC4150   ,0.98,0.328,0.274,G,0.514,0.337,0.513,0.338,F,F,19.54,0.18   ,16.9 ,2.0   ,2.1,0.6 ,0.00  ,0.00     ,0.0  ,0.0     ,0.0,0.0   ,0.0,0.0,0.00   ,0.0,0.0   ,0.0,0.0,0.000,0.645715808316
92,NGC4179   ,0.77,0.591,0.501,G,0.589,0.47,0.587,0.48,F,F,21.94,0.09   ,38.4 ,1.6   ,3.7,0.2 ,20.27 ,0.12     ,13.5 ,1.1     ,1.9,0.2   ,0.87,21.59,0.06   ,42.6,2.9   ,0.88,0.54,0.034,0.678144703969
93,NGC4203   ,0.59,0.154,0.18,G,0.281,0.255,0.305,0.275,F,F,21.28,0.05   ,14.9 ,0.4   ,3.2,0.2 ,21.06 ,0.07     ,14.0 ,0.4     ,2.4,0.2   ,0.69,0.0,0.00   ,0.0,0.0   ,0.0,0.0,0.000,0.648181216088
94,NGC4215   ,0.83,0.702,0.444,G,0.516,0.363,0.553,0.37,F,F,21.66,0.41   ,42.8 ,25.5  ,5.6,2.5 ,18.51 ,0.17     ,6.8  ,0.7     ,1.3,0.4   ,0.9,19.78,0.04   ,27.6,1.7   ,0.91,0.71,0.034,0.555277708299
95,NGC4233   ,1.15,0.277,0.162,G,0.578,0.401,0.564,0.39,F,F,20.1,0.14   ,17.8 ,1.7   ,1.9,0.5 ,0.00  ,0.00     ,0.0  ,0.0     ,0.0,0.0   ,0.0,0.0,0.00   ,0.0,0.0   ,0.0,0.0,0.000,0.96896279025
96,NGC4249   ,1.32,0.048,0.04,G,0.204,0.142,0.194,0.127,F,F,20.56,0.18   ,19.9 ,2.0   ,3.3,0.7 ,18.44 ,0.19     ,4.4  ,0.4     ,0.8,0.2   ,0.73,20.0,0.04   ,20.6,1.1   ,0.63,0.72,0.028,0.635
97,NGC4251   ,0.79,0.508,0.387,G,0.637,0.503,0.584,0.466,F,F,21.83,0.09   ,11.6 ,0.5   ,1.9,0.2 ,21.87 ,0.11     ,11.8 ,0.7     ,1.8,0.4   ,0.97,0.0,0.00   ,0.0,0.0   ,0.0,0.0,0.000,0.749083850438
98,NGC4255   ,1.34,0.434,0.127,S,0.622,0.374,0.606,0.37,F,F,19.9,0.09   ,23.4 ,1.0   ,3.6,0.3 ,0.00  ,0.00     ,0.0  ,0.0     ,0.0,0.0   ,0.0,0.0,0.00   ,0.0,0.0   ,0.0,0.0,0.000,1.03824503654
99,NGC4259   ,1.93,0.553,0.45,G,0.231,0.081,0.237,0.068,F,S,20.09,0.19   ,11.6 ,1.3   ,2.2,0.4 ,0.00  ,0.00     ,0.0  ,0.0     ,0.0,0.0   ,0.0,0.0,0.00   ,0.0,0.0   ,0.0,0.0,0.000,0.10136841498
100,NGC4262   ,1.39,0.117,0.117,C,0.297,0.254,0.309,0.25,F,F,21.76,0.16   ,52.1 ,4.8   ,5.1,0.4 ,21.86 ,0.16     ,55.4 ,4.8     ,5.7,0.5   ,0.84,0.0,0.00   ,0.0,0.0   ,0.0,0.0,0.000,0.730881682756
101,NGC4264   ,1.26,0.191,0.191,C,0.541,0.355,0.499,0.341,F,F,19.49,0.48   ,9.8  ,3.0   ,4.7,2.6 ,0.00  ,0.00     ,0.0  ,0.0     ,0.0,0.0   ,0.0,0.0,0.00   ,0.0,0.0   ,0.0,0.0,0.000,0.780257039135
102,NGC4267   ,0.53,0.079,0.079,C,0.26,0.241,0.282,0.253,F,F,20.77,0.11   ,11.7 ,0.6   ,2.3,0.3 ,0.00  ,0.00     ,0.0  ,0.0     ,0.0,0.0   ,0.0,0.0,0.00   ,0.0,0.0   ,0.0,0.0,0.000,0.90013360471
103,NGC4268   ,0.93,0.552,0.348,G,0.491,0.333,0.492,0.33,F,F,22.01,0.48   ,37.8 ,28.4  ,7.6,2.8 ,0.00  ,0.00     ,0.0  ,0.0     ,0.0,0.0   ,0.0,0.0,0.00   ,0.0,0.0   ,0.0,0.0,0.000,0.559402390487
104,NGC4270   ,0.96,0.543,0.424,G,0.378,0.289,0.406,0.294,F,F,20.36,0.12   ,14.2 ,0.9   ,1.9,0.3 ,0.00  ,0.00     ,0.0  ,0.0     ,0.0,0.0   ,0.0,0.0,0.00   ,0.0,0.0   ,0.0,0.0,0.000,0.451506910873
105,NGC4278   ,0.72,0.103,0.134,G,0.201,0.208,0.178,0.203,F,F,20.38,0.08   ,18.8 ,0.7   ,1.8,0.2 ,19.09 ,0.60     ,3.5  ,2.0     ,0.9,0.7   ,0.73,18.84,0.05   ,13.2,0.5   ,0.53,0.87,0.120,0.554553740179
106,NGC4281   ,0.69,0.535,0.502,G,0.757,0.702,0.651,0.621,F,F,20.7,0.11   ,31.6 ,1.6   ,4.8,0.3 ,20.96 ,0.21     ,35.3 ,2.9     ,4.1,0.4   ,0.92,17.69,0.02   ,4.2,2.8   ,0.86,0.07,0.000,0.876475420846
107,NGC4283   ,1.44,0.033,0.031,G,0.172,0.155,0.171,0.151,F,F,20.63,0.11   ,28.5 ,1.5   ,2.8,0.3 ,21.84 ,0.76     ,27.7 ,11.7    ,7.1,2.8   ,0.45,19.19,0.07   ,19.0,1.4   ,0.47,0.54,0.062,0.857622369713
108,NGC4324   ,0.83,0.434,0.197,G,0.639,0.407,0.592,0.389,F,F,19.92,0.14   ,9.0  ,0.6   ,4.6,0.5 ,22.18 ,1.32     ,21.7 ,6.5     ,7.6,1.1   ,0.96,18.27,0.05   ,3.9,3.1   ,0.95,0.19,0.000,0.87642849312
109,NGC4339   ,0.55,0.06,0.06,G,0.311,0.302,0.325,0.312,F,F,20.25,0.18   ,22.1 ,2.7   ,1.8,0.7 ,0.00  ,0.00     ,0.0  ,0.0     ,0.0,0.0   ,0.0,0.0,0.00   ,0.0,0.0   ,0.0,0.0,0.000,1.27373466625
110,NGC4340   ,0.62,0.227,0.237,G,0.499,0.481,0.458,0.442,F,F,21.88,0.20   ,31.3 ,3.6   ,4.1,0.6 ,19.85 ,0.36     ,8.3  ,1.9     ,1.9,0.8   ,0.96,20.69,0.06   ,24.5,1.8   ,0.94,0.6,0.094,0.90792107317
111,NGC4342   ,2.45,0.442,0.263,S,0.537,0.307,0.528,0.306,F,F,22.32,0.49   ,51.3 ,25.4  ,5.3,2.2 ,0.00  ,0.00     ,0.0  ,0.0     ,0.0,0.0   ,0.0,0.0,0.00   ,0.0,0.0   ,0.0,0.0,0.000,0.596682845615
112,NGC4346   ,0.77,0.533,0.36,G,0.571,0.428,0.576,0.439,F,F,17.98,0.28   ,5.6  ,0.7   ,2.9,0.4 ,18.61 ,0.12     ,8.2  ,0.5     ,1.2,0.1   ,0.38,0.0,0.00   ,0.0,0.0   ,0.0,0.0,0.000,0.731666666667
113,NGC4350   ,0.77,0.674,0.55,G,0.658,0.46,0.638,0.48,F,F,19.84,0.11   ,22.8 ,1.3   ,2.8,0.4 ,17.91 ,0.18     ,4.2  ,0.4     ,0.9,0.3   ,0.75,18.86,0.02   ,21.1,0.4   ,0.44,0.77,0.021,0.647231867965
114,NGC4371   ,0.51,0.309,0.313,G,0.541,0.541,0.482,0.482,F,F,22.08,0.18   ,86.3 ,8.6   ,5.2,0.4 ,22.16 ,0.19     ,91.1 ,9.6     ,5.2,0.4   ,0.76,0.0,0.00   ,0.0,0.0   ,0.0,0.0,0.000,0.861538856511
115,NGC4377   ,1.3,0.157,0.228,S,0.443,0.314,0.473,0.338,F,F,21.9,0.12   ,87.0 ,5.4   ,6.0,0.3 ,21.52 ,0.11     ,73.2 ,4.1     ,5.8,0.3   ,0.94,0.0,0.00   ,0.0,0.0   ,0.0,0.0,0.000,0.707863105013
116,NGC4379   ,0.9,0.224,0.258,G,0.386,0.294,0.398,0.3,F,F,20.14,0.27   ,13.0 ,2.6   ,2.2,1.2 ,0.00  ,0.00     ,0.0  ,0.0     ,0.0,0.0   ,0.0,0.0,0.00   ,0.0,0.0   ,0.0,0.0,0.000,0.590624423219
117,NGC4382   ,0.34,0.202,0.202,G,0.174,0.174,0.163,0.163,F,F,20.41,0.12   ,15.7 ,0.9   ,2.6,0.3 ,20.33 ,0.07     ,15.6 ,0.5     ,2.4,0.2   ,0.7,0.0,0.00   ,0.0,0.0   ,0.0,0.0,0.000,0.362670239984
118,NGC4387   ,1.1,0.373,0.351,G,0.391,0.315,0.399,0.317,F,F,22.32,0.49   ,133.5,63.4  ,5.1,1.3 ,18.60 ,0.10     ,10.4 ,0.6     ,1.9,0.2   ,0.79,19.31,0.02   ,51.0,0.7   ,0.77,0.83,0.009,0.535063965609
119,NGC4417   ,0.89,0.566,0.418,G,0.542,0.395,0.548,0.392,F,F,23.29,0.03   ,250.0,0.0   ,5.5,0.2 ,23.37 ,0.03     ,250.0,0.0     ,5.4,0.1   ,0.62,0.0,0.00   ,0.0,0.0   ,0.0,0.0,0.000,0.606314460392
120,NGC4425   ,0.62,0.676,0.587,G,0.438,0.363,0.454,0.384,F,F,19.93,0.04   ,24.6 ,0.4   ,2.8,0.1 ,18.39 ,0.39     ,5.3  ,1.0     ,1.7,0.6   ,0.67,18.78,0.04   ,20.5,0.7   ,0.44,0.74,0.054,0.501201282644
121,NGC4429   ,0.48,0.402,0.402,G,0.455,0.455,0.396,0.396,F,F,20.7,0.07   ,28.2 ,0.9   ,1.7,0.1 ,0.00  ,0.00     ,0.0  ,0.0     ,0.0,0.0   ,0.0,0.0,0.00   ,0.0,0.0   ,0.0,0.0,0.000,0.624571494898
122,NGC4434   ,1.15,0.058,0.082,G,0.249,0.186,0.288,0.199,F,F,21.1,0.19   ,65.2 ,6.6   ,2.7,0.3 ,0.00  ,0.00     ,0.0  ,0.0     ,0.0,0.0   ,0.0,0.0,0.00   ,0.0,0.0   ,0.0,0.0,0.000,0.694938144291
123,NGC4435   ,0.52,0.468,0.465,G,0.672,0.667,0.599,0.597,F,F,20.44,0.13   ,11.9 ,0.8   ,2.7,0.4 ,19.10 ,0.29     ,4.7  ,0.8     ,1.6,0.8   ,0.94,19.95,0.05   ,12.1,0.7   ,0.94,0.56,0.124,0.875483276677
124,NGC4442   ,0.62,0.335,0.307,G,0.35,0.329,0.363,0.338,F,F,20.48,0.07   ,26.7 ,0.9   ,4.7,0.3 ,17.85 ,0.04     ,4.1  ,0.1     ,0.6,0.1   ,0.77,17.89,0.01   ,12.7,0.1   ,0.61,0.83,0.006,0.610024829953
125,NGC4452   ,0.42,0.88,0.88,G,0.765,0.765,0.648,0.648,F,F,19.72,0.06   ,29.3 ,0.7   ,2.8,0.2 ,0.00  ,0.00     ,0.0  ,0.0     ,0.0,0.0   ,0.0,0.0,0.00   ,0.0,0.0   ,0.0,0.0,0.000,0.690770320992
126,NGC4459   ,0.64,0.148,0.128,G,0.477,0.45,0.438,0.408,F,F,21.48,0.09   ,19.9 ,0.9   ,2.7,0.3 ,21.92 ,0.32     ,18.3 ,3.0     ,5.3,1.3   ,0.87,20.51,0.08   ,12.0,0.7   ,0.89,0.28,0.026,1.14039466852
127,NGC4461   ,0.68,0.392,0.306,G,0.486,0.405,0.511,0.43,F,F,21.36,0.22   ,47.1 ,5.9   ,3.9,0.5 ,22.53 ,0.32     ,82.0 ,16.5    ,7.5,1.4   ,0.79,0.0,0.00   ,0.0,0.0   ,0.0,0.0,0.000,0.777334140517
128,NGC4473   ,0.71,0.421,0.396,G,0.255,0.263,0.229,0.25,F,F,21.83,0.09   ,134.2,6.2   ,4.7,0.1 ,22.00 ,0.10     ,146.7,8.6     ,4.8,0.2   ,0.83,0.0,0.00   ,0.0,0.0   ,0.0,0.0,0.000,0.397276078852
129,NGC4474   ,0.72,0.57,0.468,G,0.439,0.347,0.446,0.353,F,F,20.67,0.14   ,38.2 ,2.6   ,5.7,0.5 ,18.80 ,0.31     ,12.6 ,3.1     ,3.1,0.8   ,0.61,20.21,0.05   ,38.6,1.3   ,0.54,0.42,0.085,0.516002468026
130,NGC4477   ,0.44,0.135,0.135,C,0.216,0.216,0.221,0.221,F,F,21.06,0.07   ,16.7 ,0.5   ,4.5,0.3 ,20.58 ,0.06     ,14.0 ,0.4     ,4.1,0.3   ,0.64,0.0,0.00   ,0.0,0.0   ,0.0,0.0,0.000,0.601485814617
131,NGC4478   ,0.98,0.165,0.175,G,0.221,0.175,0.233,0.177,F,F,21.35,0.33   ,41.4 ,8.5   ,4.1,1.2 ,0.00  ,0.00     ,0.0  ,0.0     ,0.0,0.0   ,0.0,0.0,0.00   ,0.0,0.0   ,0.0,0.0,0.000,0.423110927704
132,NGC4483   ,1.02,0.346,0.251,G,0.474,0.271,0.465,0.273,F,F,19.56,0.03   ,13.0 ,0.2   ,2.0,0.1 ,19.93 ,0.25     ,14.3 ,0.9     ,1.9,0.1   ,0.81,18.66,0.03   ,5.4,3.1   ,0.83,0.15,0.087,0.544911265118
133,NGC4486A  ,1.96,0.224,0.224,G,0.379,0.379,0.351,0.351,F,F,20.9,0.13   ,74.2 ,5.0   ,2.9,0.2 ,21.56 ,0.14     ,97.4 ,7.1     ,4.1,0.3   ,0.89,0.0,0.00   ,0.0,0.0   ,0.0,0.0,0.000,0.741622858524
134,NGC4489   ,0.62,0.085,0.075,G,0.176,0.125,0.168,0.117,F,F,18.49,0.53   ,5.0  ,1.2   ,3.7,0.8 ,18.49 ,0.53     ,5.0  ,1.2     ,3.7,0.8   ,0.85,0.0,0.00   ,0.0,0.0   ,0.0,0.0,0.000,0.427223594854
135,NGC4494   ,0.48,0.173,0.173,G,0.219,0.219,0.212,0.212,F,F,21.52,0.16   ,20.0 ,1.6   ,2.3,0.5 ,19.80 ,0.38     ,4.8  ,1.0     ,2.5,1.6   ,0.94,20.18,0.06   ,15.0,0.5   ,0.92,0.7,0.108,0.509697859044
136,NGC4503   ,0.61,0.446,0.429,G,0.51,0.451,0.523,0.47,F,F,21.03,0.13   ,45.0 ,3.1   ,3.4,0.3 ,20.86 ,0.08     ,42.5 ,1.4     ,2.7,0.2   ,0.82,0.0,0.00   ,0.0,0.0   ,0.0,0.0,0.000,0.717578159449
137,NGC4521   ,0.89,0.566,0.482,G,0.794,0.566,0.682,0.534,F,F,20.74,0.18   ,33.1 ,3.5   ,2.8,0.6 ,0.00  ,0.00     ,0.0  ,0.0     ,0.0,0.0   ,0.0,0.0,0.00   ,0.0,0.0   ,0.0,0.0,0.000,0.769161854557
138,NGC4526   ,0.45,0.361,0.361,G,0.563,0.563,0.453,0.453,F,F,20.25,0.14   ,19.5 ,1.6   ,2.4,0.5 ,20.92 ,0.18     ,24.4 ,2.7     ,2.1,0.6   ,0.63,0.0,0.00   ,0.0,0.0   ,0.0,0.0,0.000,0.753953568451
139,NGC4546   ,0.66,0.527,0.465,G,0.653,0.572,0.639,0.579,F,F,19.53,0.07   ,11.3 ,0.4   ,2.1,0.1 ,0.00  ,0.00     ,0.0  ,0.0     ,0.0,0.0   ,0.0,0.0,0.00   ,0.0,0.0   ,0.0,0.0,0.000,0.849086795974
140,NGC4551   ,0.92,0.284,0.259,G,0.311,0.285,0.295,0.259,F,F,19.65,0.03   ,20.2 ,0.3   ,1.7,0.1 ,20.91 ,0.24     ,29.9 ,3.3     ,1.4,0.2   ,0.34,17.63,0.02   ,6.9,0.5   ,0.4,0.37,0.084,0.508920426
141,NGC4564   ,0.78,0.56,0.477,G,0.64,0.532,0.619,0.536,F,F,21.34,0.12   ,49.3 ,3.1   ,6.2,0.4 ,21.67 ,0.15     ,56.7 ,4.5     ,6.7,0.6   ,0.9,0.0,0.00   ,0.0,0.0   ,0.0,0.0,0.000,0.77607840707
142,NGC4570   ,0.7,0.626,0.551,G,0.586,0.47,0.603,0.498,F,F,19.97,0.07   ,21.9 ,0.7   ,2.9,0.2 ,20.39 ,0.09     ,14.7 ,0.6     ,5.7,0.4   ,0.49,18.85,0.02   ,17.2,0.2   ,0.46,0.55,0.004,0.670893436866
143,NGC4578   ,0.7,0.289,0.282,G,0.669,0.596,0.596,0.544,F,F,19.35,0.06   ,25.1 ,0.7   ,2.4,0.2 ,18.12 ,0.45     ,5.4  ,1.5     ,1.9,0.8   ,0.64,18.41,0.03   ,22.7,0.7   ,0.35,0.74,0.072,1.02441126493
144,NGC4596   ,0.56,0.254,0.254,C,0.31,0.297,0.297,0.28,F,F,22.23,0.48   ,43.1 ,18.2  ,5.2,2.0 ,19.19 ,0.14     ,6.4  ,0.5     ,1.6,0.3   ,0.78,20.33,0.04   ,27.2,1.0   ,0.71,0.71,0.022,0.555573053093
145,NGC4608   ,0.56,0.115,0.115,C,0.194,0.18,0.203,0.185,F,F,21.83,0.14   ,59.2 ,4.5   ,3.8,0.3 ,0.00  ,0.00     ,0.0  ,0.0     ,0.0,0.0   ,0.0,0.0,0.00   ,0.0,0.0   ,0.0,0.0,0.000,0.545535237773
146,NGC4612   ,0.75,0.204,0.196,R,0.428,0.345,0.407,0.324,F,F,25.05,0.41   ,196.2,84.6  ,10.5,1.9 ,0.00  ,0.00     ,0.0  ,0.0     ,0.0,0.0   ,0.0,0.0,0.00   ,0.0,0.0   ,0.0,0.0,0.000,0.731841401353
147,NGC4621   ,0.5,0.365,0.364,G,0.273,0.272,0.291,0.291,F,F,21.42,0.20   ,31.4 ,3.7   ,3.5,0.7 ,0.00  ,0.00     ,0.0  ,0.0     ,0.0,0.0   ,0.0,0.0,0.00   ,0.0,0.0   ,0.0,0.0,0.000,0.482327803356
148,NGC4623   ,0.64,0.673,0.648,G,0.66,0.602,0.598,0.564,F,F,21.08,0.09   ,52.4 ,2.3   ,4.3,0.2 ,20.21 ,0.11     ,25.9 ,37.4    ,4.2,0.7   ,0.63,19.78,0.06   ,31.8,13.8  ,0.63,0.38,0.000,0.70063463295
